machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;643
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;8262
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;41989
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;249411
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3289426
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;735
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;6051
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;76291
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;244331
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3334846
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1626
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;11799
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;30408
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;230162
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3209398
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;633
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5036
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;25551
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;221420
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3227065
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;592
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;3832
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;29600
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;244444
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3218639
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;1066
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4838
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;46118
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;245285
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3348251
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;654
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5747
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;58246
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;260223
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3210835
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;664
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;10557
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;35504
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;306382
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3254278
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;773
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;16127
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;36732
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;231332
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3251661
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;615
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4170
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;23098
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;225239
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3181727
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;637
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;5989
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;25493
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;246444
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3470636
Muff;32;32;32;8;ssandPile;omp_tiled;opt;241;;cores;;none;783
Muff;64;32;32;8;ssandPile;omp_tiled;opt;1024;;cores;;none;4018
Muff;128;32;32;8;ssandPile;omp_tiled;opt;4242;;cores;;none;49623
Muff;256;32;32;8;ssandPile;omp_tiled;opt;17035;;cores;;none;212000
Muff;512;32;32;8;ssandPile;omp_tiled;opt;69190;;cores;;none;3605175
